Type,ID,Vendor,Title,Price,Image,Link
Processors,35,Intel,Intel® Core™ Ultra 5 245KF Desktop Processor,"₱13,600.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-ULTRA-5-245KF-1.jpg?v=1731895052&width=1,/products/intel-core-ultra-5-245kf-desktop-processor?_pos=20&_sid=904140c2a&_ss=r
Processors,36,Intel,"Intel®  Core™  i5-14400 Processor 20M Cache, up to 4.70 GHz","₱13,900.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-I5-14400-1.jpg?v=1706251052&width=1,/products/intel-core-i5-14400-processor-20m-cache-up-to-4-70-ghz?_pos=21&_sid=904140c2a&_ss=r
Processors,37,Intel,"Intel®  Core™  i3-14100 Processor 12M Cache, up to 4.70 GHz","₱7,800.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-I3-14100-1.jpg?v=1706250035&width=1,/products/intel-core-i3-14100-processor-12m-cache-up-to-4-70-ghz?_pos=22&_sid=904140c2a&_ss=r
Processors,38,AMD,AMD Ryzen™  7 5700G Desktop Processors with Radeon™  Graphics (Up to 4.6GHz),"₱11,750.00",//pcx.com.ph/cdn/shop/products/Artboard-2-57.webp?v=1741830908&width=1,/products/amd-ryzen-7-5700g-3-8ghz-processor?_pos=23&_sid=904140c2a&_ss=r
Processors,39,AMD,AMD Ryzen™ 5 9600X Desktop Processor,"₱14,750.00",//pcx.com.ph/cdn/shop/files/p1_b5717db9-07a4-409f-b728-53384f361523.jpg?v=1753060533&width=1,/products/amd-ryzen-5-9600x-desktop-processor?_pos=24&_sid=904140c2a&_ss=r
Processors,45,Intel,"Intel®  Core™  i7-14700 Processor 33M Cache, up to 5.40 GHz","₱21,600.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-I7-14700-1.jpg?v=1706254475&width=1,/products/intel-core-i7-14700-processor-33m-cache-up-to-5-40-ghz?_pos=25&_sid=904140c2a&_ss=r
Processors,46,Intel,"Intel®  Core™  i5-10400 Processor (12M Cache, up to 4.30 GHz)","₱7,800.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-I5-10400-_2.90GHZ_-1.jpg?v=1700807831&width=1,/products/intel-core-i5-10400-processor-12m-cache-up-to-4-30-ghz?_pos=26&_sid=904140c2a&_ss=r
Processors,47,AMD,AMD Ryzen™  5 5600G Processor with Radeon™  Graphics (Up to 4.4GHz),"₱6,950.00",//pcx.com.ph/cdn/shop/products/Artboard-1-55_07c66aae-d402-4821-bc71-0fa425071f0d.png?v=1741830950&width=1,/products/amd-ryzen-5-5600g-3-9ghz-processor?_pos=27&_sid=904140c2a&_ss=r
Processors,48,Intel,"Intel® Core™  i3-10105 Processor (6M Cache, up to 4.40 GHz)","₱5,450.00",//pcx.com.ph/cdn/shop/products/Artboard-1-67.png?v=1682667324&width=1,/products/intel-core-i3-10105-3-7ghz-processor?_pos=28&_sid=904140c2a&_ss=r
Processors,49,Intel,Intel®  Core™ Ultra 7 265KF Desktop Processor,"₱19,950.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-ULTRA-7-265KF-1.jpg?v=1731897618&width=1,/products/intel-core-ultra-7-265kf-desktop-processor?_pos=34&_sid=904140c2a&_ss=r
Processors,50,Intel,Intel® Core™ i5-14500 Desktop Processor,"₱14,900.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-I5-14500-1.jpg?v=1726540282&width=1,/products/intel%C2%AE-core%E2%84%A2-i5-14500-desktop-processor?_pos=35&_sid=904140c2a&_ss=r
Processors,51,AMD,AMD Ryzen™  7 8700G Desktop Processor (4.2 up to 5.1GHz),"₱18,200.00",//pcx.com.ph/cdn/shop/files/CPU-AMD-RYZEN-7-8700G-_4.2GHZ_-1.jpg?v=1707724114&width=1,/products/amd-ryzen-7-8700g-desktop-processor-4-2-up-to-5-1ghz?_pos=36&_sid=904140c2a&_ss=r
Processors,52,AMD,AMD Ryzen™  5 8600G Desktop Processor (4.3 up tp 5.0GHz),"₱12,350.00",//pcx.com.ph/cdn/shop/files/CPU-AMD-RYZEN-5-8600G_4.3GHZ_-1.jpg?v=1707722668&width=1,/products/amd-ryzen-5-8600g-desktop-processor-4-3-up-tp-5-0ghz?_pos=37&_sid=904140c2a&_ss=r
Processors,53,Intel,"Intel® Core™  i9-14900 Processor 36M Cache, up to 5.80 GHz","₱29,900.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-I9-14900-1.jpg?v=1706255453&width=1,/products/intel-core-i9-14900-processor-36m-cache-up-to-5-80-ghz?_pos=38&_sid=904140c2a&_ss=r
Processors,54,AMD,AMD Ryzen™  5 4600G Desktop Processor (Up to 4.2GHz),"₱6,150.00",//pcx.com.ph/cdn/shop/files/1.CPU-AMD-RYZEN-5-4600G-_4.2GHZ.jpg?v=1694394810&width=1,/products/amd-ryzen-5-4600g-desktop-processor-up-to-4-2ghz?_pos=39&_sid=904140c2a&_ss=r
Processors,55,AMD,AMD Ryzen™  5 5600X Desktop Processors (Up to 4.6GHz),"₱8,200.00",//pcx.com.ph/cdn/shop/files/CPU-AMD-RYZEN-5-5600X-_3.7GHZ_-1_53ddbd4b-72cf-4d89-b345-0956d91bb746.jpg?v=1752498054&width=1,/products/amd-ryzen-5-5600x-3-7ghz-processor?_pos=40&_sid=904140c2a&_ss=r
Processors,56,AMD,AMD Ryzen™  7 5700X Desktop Processors (Up to 4.6GHz),"₱10,750.00",//pcx.com.ph/cdn/shop/products/Artboard-1-61.png?v=1741933982&width=1,/products/amd-ryzen-7-5700x-3-4ghz-processor?_pos=41&_sid=904140c2a&_ss=r
